purpose,priority
ОПЛАТА КОМАНДИРОВОЧНЫХ РАСХОДОВ 35036,5
Срочный: Перечисление НДФЛ за сотрудников по платежке 93116,3
"Платеж за юридические услуги 14004, ИНН 442501173541 от 23.02.2025",5
"Исполнительный лист №29791 о возмещении вреда здоровью (основание: договор 514), ИНН 551545198206",1
"ПЛАТЕЖ ПО СТРАХОВОМУ СЛУЧАЮ 51118 (ВРЕД ЗДОРОВЬЮ), ИНН 972678490921 без НДС",1
Оплата банковских услуг 71260 (основание: договор 169),5
Оплата услуг связи по договору 61245 с НДС (АО «Мясников»),5
ВОЗМЕЩЕНИЕ УЩЕРБА ЗДОРОВЬЮ ПО ИСП. ЛИСТУ 66403 ОТ 28.07.2024 КОРАЛЛОВЫЙ,1
Земельный налог 62286 Темно-синий,3
КОМПЕНСАЦИЯ МОРАЛЬНОГО ВРЕДА ПО РЕШЕНИЮ СУДА 14392,1
Благотворительное пожертвование 3952 Бледно-зеленый,5
Оплата командировочных расходов 34581 без НДС (Объединенные кондитеры),5
"Срочный: Платежное поручение на налог на прибыль 78744, ИНН 769770550904",3
Срочный: Взыскание алиментов по исп. листу 72921,1
Платежное поручение на налог на прибыль 7401 без НДС,3
ВЗЫСКАНИЕ АЛИМЕНТОВ ПО ИСП. ЛИСТУ 17214 Белый,1
Компенсация морального вреда по решению суда 63909 с НДС (основание: договор 337),1
"Платеж по страховому случаю 7224 (вред здоровью) (основание: договор 969), ИНН 190546390160 Коричневый",1
Оплата рекламных услуг 39603,5
ОПЛАТА ХОСТИНГА ЗА ИЮЛЬ 70559,5
Перечисление за программное обеспечение 16999 (основание: договор 478),5
Оплата хостинга за Июль 3785 от 01.03.2025,5
СТРАХОВЫЕ ВЗНОСЫ В ПФР ПО КВИТАНЦИИ 43878 от 18.12.2024 без НДС,3
ЕНВД за отчетный период 62529 без НДС Бледно-зеленый,3
ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 72896,5
"Платеж за юридические услуги 50856, ИНН 955711236296",5
"Перечисление за программное обеспечение 93984, ИНН 345255288413 без НДС",5
Оплата хостинга за Июль 82454 с НДС,5
"Водный налог 12068 (Росморпорт), ИНН 697632836244",3
Перечисление за аренду оборудования 642 с НДС,5
ПЛАТЕЖ ЗА ПРОВЕДЕНИЕ ТРЕНИНГА 51400 без НДС,5
"Оплата услуг охраны 50857 от 26.08.2024, ИНН 583560166548",5
Перечисление за аренду офиса 1843 (Борисова и партнеры) (основание: договор 511) с НДС,5
Платеж по накладной неотложный платеж с НДС,5
Возврат по заказу 27.01.2025,5
УПЛАТА ТРАНСПОРТНОГО НАЛОГА 30253,3
Благотворительное пожертвование 23541 Коричневый,5
ФСС: ВЗНОСЫ НА ТРАВМАТИЗМ 44472 КОРИЧНЕВЫЙ ОТ 19.02.2025,3
"Платеж по страховому случаю 48904 (вред здоровью) (ООО «Исаков, Панфилова и Кузнецов»), ИНН 855468513879",1
"Водный налог 13274, ИНН 654166628478 Шоколадный, ИНН 794227698018",3
Платеж за юридические услуги 83056 (Селезнев и партнеры),5
Страховые взносы в ПФР по квитанции 57127 (ООО «Вишнякова Максимов»),3
"Перечисление НДФЛ за сотрудников по платежке 54505 (НПО «Ефимова Чернова») с НДС, ИНН 207130218828",3
ПЛАТЕЖ ЗА ЮРИДИЧЕСКИЕ УСЛУГИ 1249 Ярко-розовый,5
Срочный: Исполнительный лист №397 о возмещении вреда здоровью (основание: договор 988),1
СТРАХОВЫЕ ВЗНОСЫ В ПФР ПО КВИТАНЦИИ 77490,3
Оплата услуг охраны 63849 от 23.12.2024 Бледно-зеленый Лазурный,5
Срочный: НДС за 2 квартал 2023 82772 (основание: договор 411),3
Перечисление за аренду офиса 66380 от 14.06.2024 (КРКА Фарма (KRKA)),5
Оплата услуг охраны 63465 Розовый,5
ОПЛАТА БАНКОВСКИХ УСЛУГ 41333 (основание: договор 171) (Ренейссанс Констракшн (Ronesans Holding Anonim Sirketi)),5
"Оплата услуг связи по договору 87699 (НПО «Назаров, Сергеев и Лебедева») (основание: договор 425)",5
"Перечисление НДФЛ за сотрудников по платежке 77590, ИНН 437537200544",3
Оплата хостинга за Июль 14347 Васильковый,5
Платеж за юридические услуги 94563 Сине-фиолетовый от 22.03.2025,5
Срочный: Перечисление за аренду оборудования 24272 Синий,5
Платеж за юридические услуги 137 от 02.02.2025,5
Срочный: ПЛАТЕЖ ЗА ПОСТАВКУ КАНЦТОВАРОВ 32557,5
"Платеж за проведение тренинга 93238 от 20.11.2024 от 30.07.2024, ИНН 271001849581",5
Перечисление за аренду оборудования 45883 Темно-красный,5
Срочный: Взыскание алиментов по исп. листу 98269 (АО «Белякова Казакова»),1
Перечисление НДФЛ за сотрудников по платежке 97884 (Новосталь) (АО «Дмитриева Щукин»),3
"Срочный: Перечисление за аренду оборудования 75397, ИНН 582787274106",5
Перечисление средств по исп. документу 40685 о возмещении вреда жизни (основание: договор 660),1
Срочный: ОПЛАТА КОМАНДИРОВОЧНЫХ РАСХОДОВ 86310,5
Водный налог 82145 Светло-розовый,3
Благотворительное пожертвование 73284 (Пестов Инк) Лазурный,5
Платеж за уборку помещений 83055 Темно-голубой,5
СРОЧНЫЙ: ОПЛАТА УСЛУГ ОХРАНЫ 13715,5
